IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
24411;Umidità Relativa;11;%;30/08/2020;;06/05/2024;5066048;572800;1246;1974;Grone San Fermo;BG;Grone
24412;Direzione Vento;10;°;30/08/2020;;06/05/2024;5066048;572800;1246;1974;Grone San Fermo;BG;Grone
24414;Velocità Vento;9;m/s;30/08/2020;;06/05/2024;5066048;572800;1246;1974;Grone San Fermo;BG;Grone
24416;Precipitazione;2;mm;30/08/2020;;06/05/2024;5066048;572800;1246;1974;Grone San Fermo;BG;Grone
30523;Livello Idrometrico;1;cm;25/09/2014;;06/05/2024;5046729;503760;160;1508;Lainate SP 109;MI;Lainate
30525;Precipitazione;2;mm;21/05/2014;;06/05/2024;5047745;512305;170;1509;Paderno Dugnano Palazzolo Parco Borghetto;MI;Paderno Dugnano
30533;Precipitazione;2;mm;26/09/2014;;29/04/2024;5048372;519174;173;1510;Monza v.Monte Generoso;MB;Monza
30536;Precipitazione;2;mm;26/09/2014;;06/05/2024;5050479;496327;215;1511;Rescaldina ;MI;Rescaldina
30539;Precipitazione;2;mm;26/09/2014;;06/05/2024;5042449;500406;160;1512;Pogliano Milanese ;MI;Pogliano Milanese
32228;Direzione Vento;10;°;22/06/2016;;06/05/2024;5057377;574538;197;874;Sarnico v. Roma;BG;Sarnico
32229;Velocità Vento;9;m/s;22/06/2016;;06/05/2024;5057377;574538;197;874;Sarnico v. Roma;BG;Sarnico
32238;Umidità Relativa;11;%;01/08/2016;;06/05/2024;4973248;515391;501;856;Fortunago ;PV;Fortunago
32241;Umidità Relativa;11;%;01/08/2016;;06/05/2024;5083338;480047;294;884;Cuveglio ;VA;Cuveglio
32244;Umidità Relativa;11;%;01/08/2016;;06/05/2024;5076955;491501;383;885;Arcisate ;VA;Arcisate
32247;Umidità Relativa;11;%;01/08/2016;;06/05/2024;5103599;600282;816;904;Paisco Loveno ;BS;Paisco Loveno
32250;Umidità Relativa;11;%;01/08/2016;;06/05/2024;5051536;603100;428;876;Caino ;BS;Caino
32253;Umidità Relativa;11;%;28/09/2016;;09/05/2018;5083557;520640;625;902;Barni ;CO;Barni
32259;Umidità Relativa;11;%;27/10/2016;;06/05/2024;5126972;568128;2151;832;Lanzada Palù;SO;Lanzada
32262;Umidità Relativa;11;%;27/10/2016;;06/05/2024;5097116;544202;1875;833;Gerola Alta Pescegallo;SO;Gerola Alta
32336;Umidità Relativa;11;%;11/08/2016;;06/05/2024;5103920;606529;1128;905;Cevo ;BS;Cevo
32339;Umidità Relativa;11;%;02/09/2016;;06/05/2024;4947846;517168;1363;857;Santa Margherita di Staffora Passo del Giovà;PV;Santa Margherita di Staffora
32345;Radiazione Globale;12;W/m²;11/07/2017;;06/05/2024;5090337;611798;2410;1359;Breno Lago Della Vacca;BS;Breno
32353;Temperatura;3;°C;21/04/2022;;06/05/2024;5072552;471760;249;1807;Ispra JRC;VA;Ispra
32354;Umidità Relativa;11;%;21/04/2022;;06/05/2024;5072552;471760;249;1807;Ispra JRC;VA;Ispra
32355;Precipitazione;2;mm;21/04/2022;;06/05/2024;5072552;471760;249;1807;Ispra JRC;VA;Ispra
32357;Radiazione Globale;12;W/m²;21/04/2022;;06/05/2024;5072552;471760;249;1807;Ispra JRC;VA;Ispra
32360;Radiazione Globale;12;W/m²;13/10/2017;;06/05/2024;5097116;544202;1875;833;Gerola Alta Pescegallo;SO;Gerola Alta
32363;Radiazione Globale;12;W/m²;12/10/2017;;06/05/2024;5126972;568128;2151;832;Lanzada Palù;SO;Lanzada
32370;Temperatura;3;°C;23/11/2017;;06/05/2024;5083535;518233;1158;1679;Sormano rifugio Alpetto;CO;Sormano
32373;Umidità Relativa;11;%;23/11/2017;;06/05/2024;5083535;518233;1158;1679;Sormano rifugio Alpetto;CO;Sormano
