IdSensore;Tipologia;IdTipologia;UnitaMisura;DataMinimaRT;DataMinimaPubblicazione;DataMassimaRT;UTM Nord;UTM Est;Quota;idStazione;Nome;Provincia;Comune
2404;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;5097875;603903;362;129;Capo di Ponte v.Briscioli;BS;Capo di Ponte
2407;Direzione Vento;10;°;12/09/2003;;06/05/2024;5097875;603903;362;129;Capo di Ponte v.Briscioli;BS;Capo di Ponte
2408;Precipitazione;2;mm;30/10/2002;;06/05/2024;5097875;603903;362;129;Capo di Ponte v.Briscioli;BS;Capo di Ponte
2414;Temperatura;3;°C;01/01/1995;;06/05/2024;5042175;598502;149;130;Brescia ITAS Pastori;BS;Brescia
2415;Umidità Relativa;11;%;01/01/1995;;06/05/2024;5042175;598502;149;130;Brescia ITAS Pastori;BS;Brescia
2417;Precipitazione;2;mm;11/10/1990;;06/05/2024;5042175;598502;149;130;Brescia ITAS Pastori;BS;Brescia
2433;Temperatura;3;°C;01/01/1993;;06/05/2024;5056541;551321;211;132;Bergamo v.Stezzano;BG;Bergamo
2434;Umidità Relativa;11;%;01/01/1993;;06/05/2024;5056541;551321;211;132;Bergamo v.Stezzano;BG;Bergamo
2435;Radiazione Globale;12;W/m²;01/01/1993;;06/05/2024;5056541;551321;211;132;Bergamo v.Stezzano;BG;Bergamo
2441;Precipitazione;2;mm;15/10/1990;;06/05/2024;5056541;551321;211;132;Bergamo v.Stezzano;BG;Bergamo
2442;Direzione Vento;10;°;19/05/1993;;06/05/2024;5056541;551321;211;132;Bergamo v.Stezzano;BG;Bergamo
2447;Temperatura;3;°C;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2448;Umidità Relativa;11;%;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2449;Radiazione Globale;12;W/m²;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2450;Velocità Vento;9;m/s;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2452;Precipitazione;2;mm;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2453;Direzione Vento;10;°;01/01/1993;;06/05/2024;5105929;544001;958;133;Bema ;SO;Bema
2459;Temperatura;3;°C;03/05/1998;;06/05/2024;5031658;581271;93;134;Corzano Bargnano;BS;Corzano
2460;Umidità Relativa;11;%;03/05/1998;;06/05/2024;5031658;581271;93;134;Corzano Bargnano;BS;Corzano
2461;Radiazione Globale;12;W/m²;12/09/2003;;06/05/2024;5031658;581271;93;134;Corzano Bargnano;BS;Corzano
